Event_Name,Race_Type,Date,Country,City,State,Location,Website_URL,Phone_Number,Details_URL
Bogota Half Marathon,Marathons,July 26th 2015, Colombia,Bogota,,,http://www.mediamaratonbogota.com,,http://www.runnerspace.com/eprofile.php?event_id=5337
Rock 'n' Roll Madrid Marathon,Marathons,April 26th 2015, Spain,Madrid,,,http://es.competitor.com/madrid/,,http://www.runnerspace.com/eprofile.php?event_id=5355
Venice Marathon,Marathons,October 25th 2015, Italy,Venice,,,http://www.venicemarathon.it,,http://www.runnerspace.com/eprofile.php?event_id=5324
Honolulu Marathon,Marathons,December 13th 2015, United States,Honolulu, Hawaii,,http://www.honolulumarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=208
Berlin Marathon,Marathons,September 27th 2015, Germany,Berlin,,,http://www.bmw-berlin-marathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=411
Dallas Marathon and Half,Marathons,December 13th 2015, United States,Dallas, Texas,,http://www.runtherock.com/,,http://www.runnerspace.com/eprofile.php?event_id=7390
Fukuoka Marathon,Marathons,December 7th 2015, Japan,Fukuoka,,,http://www.fukuoka-marathon.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=7385
Singapore Marathon,Marathons,December 6th 2015, Singapore,Singapore,,,http://www.marathonsingapore.com/,,http://www.runnerspace.com/eprofile.php?event_id=5334
Rock 'n' Roll San Antonio Marathon and Half,Marathons,December 6th 2015, United States,San Antonio, Texas,,http://runrocknroll.competitor.com/san-antonio,,http://www.runnerspace.com/eprofile.php?event_id=97
St Jude Memphis Marathon and Half,Marathons,December 5th 2015, United States,Memphis, Tennessee,,http://www.stjudemarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=7389
Rock 'n' Roll Los Angeles Half Marathon,Marathons,October 25th 2015, United States,Los Angeles, California,,http://runrocknroll.competitor.com/los-angeles,,http://www.runnerspace.com/eprofile.php?event_id=5375
Marine Corps Marathon,Marathons,October 25th 2015, United States,Washington, District Of Columbia,,http://www.marinemarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=194
California International Marathon (CIM),Marathons,December 7th 2014, United States,Sacramento, California,,http://www.runcim.org/,,http://www.runnerspace.com/eprofile.php?event_id=471
Frankfurt Marathon,Marathons,October 25th 2015, Germany,Frankfurt,,,http://www.bmw-frankfurt-marathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=789
Trinidad Alfonso Valencia Half Marathon,Marathons,October 18th 2015, Spain,Valencia,,,http://www.valenciaciudaddelrunning.com/en/valencia-half-marathon/,,http://www.runnerspace.com/eprofile.php?event_id=9701
Rock 'n' Roll St Louis Marathon and Half,Marathons,October 18th 2015, United States,St. Louis, Missouri,,http://runrocknroll.competitor.com/st-louis,,http://www.runnerspace.com/eprofile.php?event_id=5374
Columbus Marathon and Half,Marathons,October 18th 2015, United States,Broad Street, Columbus,,http://www.columbusmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=6894
Nike Women's Marathon and Half,Marathons,October 19th 2015, United States,San Francisco, California,,http://www.nike.com/events/register/werunsf/,,http://www.runnerspace.com/eprofile.php?event_id=192
Des Moines Marathon,Marathons,October 18th 2015, United States,Des Moines, Iowa,,http://www.desmoinesmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=7380
Beijing Marathon,Marathons,October 18th 2015, China,Beijing,,,http://www.beijing-marathon.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=9694
Amsterdam Marathon,Marathons,October 18th 2015, Netherlands,Amsterdam,,,http://www.tcsamsterdammarathon.nl/en/,,http://www.runnerspace.com/eprofile.php?event_id=9693
Rock 'n' Roll Lisbon Marathon and Half,Marathons,October 18th 2015, Portugal,Lisbon,,,http://pt.competitor.com/portugal,,http://www.runnerspace.com/eprofile.php?event_id=7339
Detroit Free Press Marathon,Marathons,October 17th-18th 2015, United States,Detroit, Michigan,,http://www.freepmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=189
Steamtown Marathon,Marathons,October 11th 2015, United States,Scranton, Pennsylvania,,http://www.steamtownmarathon.com,,http://www.runnerspace.com/eprofile.php?event_id=7378
Delhi Half Marathon,Marathons,November 29th 2015, India,Delhi,,,http://www.procamrunning.in/adhm/,,http://www.runnerspace.com/eprofile.php?event_id=5321
Florence Marathon,Marathons,November 29th 2015, Italy,Florence,,,http://www.firenzemarathon.it/index.php?lang=en,,http://www.runnerspace.com/eprofile.php?event_id=5335
Long Beach Marathon and Half,Marathons,October 11th 2015, United States,Long Beach, California,,http://www.runlongbeach.com/,,http://www.runnerspace.com/eprofile.php?event_id=185
Chicago Marathon,Marathons,October 11th 2015, United States,Chicago, Illinois,,http://www.chicagomarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=187
Hartford Marathon and Half,Marathons,October 10th 2015, United States,Hartford, Connecticut,,http://www.hartfordmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=394
Atlanta Half Marathon,Marathons,November 26th 2015, United States,Atlanta, Georgia,,http://www.atlantahalfmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=6715
Trinidad Alfonso Valencia Marathon,Marathons,November 15th 2015, Spain,Valencia,,,http://www.valenciaciudaddelrunning.com/en/marathon-valencia/,,http://www.runnerspace.com/eprofile.php?event_id=9706
Philadelphia Marathon and Half,Marathons,November 20th 2015, United States,Philadelphia, Pennsylvania,,http://www.philadelphiamarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=199
Rock 'n' Roll Las Vegas Marathon and Half,Marathons,November 15th 2015, United States,Las Vegas, Nevada,,http://runrocknroll.competitor.com/las-vegas,,http://www.runnerspace.com/eprofile.php?event_id=207
Portland Marathon,Marathons,October 4th 2015, United States,Portland, Oregon,,http://www.portlandmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=184
Richmond Marathon and Half,Marathons,November 14th 2015, United States,Richmond, Virginia,,http://www.richmondmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=536
Twin Cities Marathon,Marathons,October 4th 2015, United States,Minneapolis, Minnesota,,http://www.mtcmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=186
Istanbul Marathon,Marathons,November 15th 2015, Turkey,Istanbul,,,http://www.istanbulmarathon.org/en,,http://www.runnerspace.com/eprofile.php?event_id=9697
Marathon des Alpes-Maritimes Nice-Cannes,Marathons,November 8th 2015, France,Nice,,,http://www.marathon06.com/2014/AN/index.htm,,http://www.runnerspace.com/eprofile.php?event_id=9705
Beirut Marathon,Marathons,November 8th 2015, Lebanon,Beirut,,,http://www.beirutmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=9704
Rock 'n' Roll Savannah Marathon and Half,Marathons,November 7th 2015, United States,Savannah, Georgia,,http://runrocknroll.competitor.com/savannah,,http://www.runnerspace.com/eprofile.php?event_id=5376
Outer Banks Marathon and Half,Marathons,November 6th-8th 2015, United States,Kitty Hawk, North Carolina,,http://www.obxmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=7381
Toronto Waterfront Marathon and Half,Marathons,October 19th 2014, Canada,Toronto, Ontario,,http://www.torontowaterfrontmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=5641
New York City Marathon,Marathons,November 1st 2015, United States,New York, New York,,http://www.nycmarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=196
Quad Cities Marathon,Marathons,September 27th 2015, United States,Moline, Illinois,,http://www.qcmarathon.org/,,http://www.runnerspace.com/eprofile.php?event_id=356
Akron Marathon and Half,Marathons,September 26th 2015, United States,Akron, Ohio,,http://www.akronmarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=408
Sydney Marathon,Marathons,September 20th 2015, Australia,Sydney,,,http://www.sydneyrunningfestival.com.au/enter/marathon,,http://www.runnerspace.com/eprofile.php?event_id=9699
